,image_url,wikipedia_url,wit_split,century_method,is_starter_set,century_id
,https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/Ekrem_Kemal_Budapest_protest_2006.jpg/lossless-page1-1024px-Ekrem_Kemal_Budapest_protest_2006.jpg.jpg,http://en.wikipedia.org/wiki/2006_protests_in_Hungary,train,with_knowledge_graph,0,1
,https://upload.wikimedia.org/wikipedia/commons/thumb/1/16/MAB13032012.JPG/lossless-page1-1024px-MAB13032012.JPG.jpg,http://en.wikipedia.org/wiki/Movimento_dos_Atingidos_por_Barragens,train,with_knowledge_graph,0,2
,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d0/Logo_TECHO_Chile.jpg/lossless-page1-1024px-Logo_TECHO_Chile.jpg.jpg,http://en.wikipedia.org/wiki/TECHO,train,with_knowledge_graph,0,3
,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/Kolejka.jpeg/lossless-page1-1024px-Kolejka.jpeg.jpg,http://en.wikipedia.org/wiki/1981_Polish_hunger_demonstrations,train,with_knowledge_graph,0,4
,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/Jordan_Syria_Locator.png/lossless-page1-1024px-Jordan_Syria_Locator.png.jpg,http://en.wikipedia.org/wiki/Jordanian_intervention_in_the_Syrian_Civil_War,train,with_knowledge_graph,0,5
,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/Milam_meets_Texan_troops.jpg/lossless-page1-1024px-Milam_meets_Texan_troops.jpg.jpg,http://en.wikipedia.org/wiki/Battle_of_Goliad,train,with_knowledge_graph,0,6
,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Atlantic_Airways_Flight_670_wreckage.png/lossless-page1-1024px-Atlantic_Airways_Flight_670_wreckage.png.jpg,http://en.wikipedia.org/wiki/Atlantic_Airways_Flight_670,train,with_knowledge_graph,0,7
,https://upload.wikimedia.org/wikipedia/commons/thumb/7/74/U.S._Marines_with_Iraqi_POWs_-_March_21%2C_2003.jpg/lossless-page1-1024px-U.S._Marines_with_Iraqi_POWs_-_March_21%2C_2003.jpg.jpg,http://simple.wikipedia.org/wiki/2003_invasion_of_Iraq,train,with_foundation_model,0,8
,https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/USMC_War_Memorial_Night.jpg/lossless-page1-1024px-USMC_War_Memorial_Night.jpg.jpg,http://en.wikipedia.org/wiki/Harold_Schultz,,manually_curated,0,9
,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ae/Men_of_1st_Battalion_advance_past_a_burning_fuel_store_on_Pantelleria.jpg/lossless-page1-1024px-Men_of_1st_Battalion_advance_past_a_burning_fuel_store_on_Pantelleria.jpg.jpg,http://en.wikipedia.org/wiki/Operation_Corkscrew,train,with_knowledge_graph,0,10
,https://upload.wikimedia.org/wikipedia/commons/thumb/0/06/Oton_Ivekovic%2C_Rakovicka_pogibja_%28smrt_Eugena_Kvaternika%29.jpg/lossless-page1-1024px-Oton_Ivekovic%2C_Rakovicka_pogibja_%28smrt_Eugena_Kvaternika%29.jpg.jpg,http://en.wikipedia.org/wiki/Rakovica_revolt,train,with_knowledge_graph,0,11
,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2a/Th%C3%ADch_Qu%E1%BA%A3ng_%C4%90%E1%BB%A9c_Memorial.JPG/lossless-page1-1024px-Th%C3%ADch_Qu%E1%BA%A3ng_%C4%90%E1%BB%A9c_Memorial.JPG.jpg,http://en.wikipedia.org/wiki/Th%C3%ADch_Qu%E1%BA%A3ng_%C4%90%E1%BB%A9c,,manually_curated,0,12
,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2b/Proposed_Operation_5.png/lossless-page1-1024px-Proposed_Operation_5.png.jpg,http://en.wikipedia.org/wiki/Proposed_Japanese_invasion_of_Sichuan,train,with_knowledge_graph,0,13
,https://upload.wikimedia.org/wikipedia/commons/thumb/4/47/PenobscotExpeditionBySerres.jpg/lossless-page1-1024px-PenobscotExpeditionBySerres.jpg.jpg,http://en.wikipedia.org/wiki/Northern_theater_of_the_American_Revolutionary_War_after_Saratoga,train,with_knowledge_graph,0,14
,https://upload.wikimedia.org/wikipedia/commons/thumb/8/86/Alaverdi_monastery_in_Kakheti%2C_Georgia_%283%29.jpg/lossless-page1-1024px-Alaverdi_monastery_in_Kakheti%2C_Georgia_%283%29.jpg.jpg,http://en.wikipedia.org/wiki/Bakhtrioni_uprising,train,with_knowledge_graph,0,15
,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cb/Second_Bulgarian_Empire_%281185-1196%29.png/lossless-page1-1024px-Second_Bulgarian_Empire_%281185-1196%29.png.jpg,http://en.wikipedia.org/wiki/Uprising_of_Asen_and_Peter,train,with_knowledge_graph,0,16
,https://upload.wikimedia.org/wikipedia/commons/thumb/0/03/Zion_Sq_1950.jpg/lossless-page1-1024px-Zion_Sq_1950.jpg.jpg,http://en.wikipedia.org/wiki/Zion_Square_refrigerator_bombing,validation,with_knowledge_graph,0,17
,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d8/Sobrarbe.png/lossless-page1-1024px-Sobrarbe.png.jpg,http://en.wikipedia.org/wiki/Battle_of_Bielsa_pocket,train,with_knowledge_graph,0,18
,https://upload.wikimedia.org/wikipedia/commons/thumb/2/29/ClarenceMakwetu_%28cropped%29.jpg/lossless-page1-1024px-ClarenceMakwetu_%28cropped%29.jpg.jpg,http://en.wikipedia.org/wiki/1994_South_African_general_election,train,with_foundation_model,0,19
,https://upload.wikimedia.org/wikipedia/commons/thumb/b/be/29_Mars_1947_Monument.jpg/lossless-page1-1024px-29_Mars_1947_Monument.jpg.jpg,http://en.wikipedia.org/wiki/Malagasy_Uprising,train,with_knowledge_graph,0,20
,https://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Miejsce_pami%C4%99ci_tarczy%C5%84ska_17.jpg/lossless-page1-1024px-Miejsce_pami%C4%99ci_tarczy%C5%84ska_17.jpg.jpg,http://en.wikipedia.org/wiki/Ochota_massacre,train,with_knowledge_graph,0,21
,https://upload.wikimedia.org/wikipedia/commons/thumb/9/95/RB_Treuchtlingen-Gem%C3%BCnden.jpg/lossless-page1-1024px-RB_Treuchtlingen-Gem%C3%BCnden.jpg.jpg,http://en.wikipedia.org/wiki/W%C3%BCrzburg_train_attack,train,with_knowledge_graph,0,22
